method,alpha,calib_frac,runs,coverage_mean,coverage_std,abs_coverage_gap_mean,abs_coverage_gap_std,mean_set_size_mean,mean_set_size_std,top1_accuracy_mean,top1_accuracy_std,fail_to_abstain_rate_mean,fail_to_abstain_rate_std,singleton_rate_mean,singleton_rate_std,ece_top1_mean,ece_top1_std
aps_conformal,0.1,0.25,1,1.0,,0.0999999999999999,,25.727272727272727,,0.1363636363636363,,0.0,,0.0,,0.0581676976176435,
coras,0.1,0.25,1,0.8636363636363636,,0.0363636363636363,,13.363636363636363,,0.0454545454545454,,0.0,,0.0,,0.2108221508081085,
coras_aps,0.1,0.25,1,0.9090909090909092,,0.009090909090909,,13.227272727272728,,0.0454545454545454,,0.0,,0.0,,0.2108221508081085,
mondrian_domain,0.1,0.25,1,0.8636363636363636,,0.0363636363636363,,13.363636363636363,,0.0454545454545454,,0.0,,0.0,,0.2108221508081085,
prompt_only_top1,0.1,0.25,1,0.0454545454545454,,0.8545454545454546,,1.0,,0.0454545454545454,,0.9545454545454546,,1.0,,0.2108221508081085,
temperature_conformal,0.1,0.25,1,1.0,,0.0999999999999999,,27.681818181818183,,0.1363636363636363,,0.0,,0.0,,0.0435229440761328,
top1_singleton,0.1,0.25,1,0.1363636363636363,,0.7636363636363637,,1.0,,0.1363636363636363,,0.8636363636363636,,1.0,,0.0581676976176435,
topk_calibrated,0.1,0.25,1,1.0,,0.0999999999999999,,26.0,,0.1363636363636363,,0.0,,0.0,,0.0581676976176435,
vanilla_conformal,0.1,0.25,1,1.0,,0.0999999999999999,,27.727272727272727,,0.1363636363636363,,0.0,,0.0,,0.0581676976176435,
